id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<ALL>	weight<MPI>	weight<NIH>	weight<CNRS>	weight<NST>	weight<FH>	weight<AIST>	weight<RIKEN>
Molecular Biology	1.0939	-0.165	3	102	156064	30660	6681	10762	5751	2789	524	1220	2933
Molecular Medicine	0.8075	-0.4113	6	67	50390	7797	1062	3171	1220	1414	182	193	555
Multidisciplinary	0.079	-0.0084	1	14	968	13357	4459	3114	2213	1135	163	580	1693
Museology	-0.1861	0.0557	1	13	116	23	10	3	9	0	1	0	0
Music	-0.1761	-0.0002	1	25	540	225	40	1	99	2	57	22	4
Nature and Landscape Conservation	-0.3311	0.4423	1	37	2182	557	190	9	307	21	15	14	1
Nephrology	0.8349	-0.0766	2	17	934	745	17	618	69	15	7	1	18
Neurology	0.7124	-0.0945	2	61	21432	5604	1320	2737	1105	123	96	30	193
Neurology (clinical)	0.6894	-0.098	2	77	26294	7232	952	4221	1439	207	122	48	243
Neuropsychology and Physiological Psychology	0.5594	0.0021	2	31	8236	1522	675	362	374	15	9	37	50
Neuroscience	0.6418	0.0624	2	66	21826	9648	2690	3649	1883	273	90	170	893
Neuroscience (miscellaneous)	0.74	-0.1394	2	33	3452	771	187	262	174	38	14	4	92
Nuclear Energy and Engineering	-0.9276	0.0072	5	48	23134	5338	1582	11	192	3270	94	125	64
Nuclear and High Energy Physics	-0.9548	-0.0655	5	40	22966	11875	6264	84	943	1867	95	264	2358
Numerical Analysis	-0.4139	-0.0839	1	37	2266	403	126	14	154	47	48	2	12
Nursing	0.3618	-0.0861	2	27	548	314	5	280	16	11	1	1	0
Nursing (miscellaneous)	0.5149	-0.074	2	8	72	31	2	24	1	0	4	0	0
Nutrition and Dietetics	0.6629	0.0123	2	43	7260	2262	44	1413	137	604	14	25	25
Obstetrics and Gynecology	0.7589	-0.0597	2	37	4142	1993	53	1768	107	39	5	3	18
Occupational Therapy	0.5353	-0.072	2	3	28	18	0	18	0	0	0	0	0
Ocean Engineering	-0.8617	0.3288	1	51	3908	877	56	2	219	358	122	116	4
Oceanography	-1.1758	0.8675	7	52	31800	2410	769	4	1043	314	24	211	45
Oncology	0.9859	-0.1167	2	67	29510	10971	345	8778	854	575	95	78	246
Oncology (nursing)	0.7605	-0.045	2	14	788	181	1	171	8	1	0	0	0
Ophthalmology	0.8553	-0.2621	2	23	2826	1422	145	870	220	27	31	29	100
Optometry	0.8716	-0.2809	2	4	58	18	0	11	5	1	1	0	0
Oral Surgery	0.7301	-0.1639	2	11	440	113	4	57	13	26	6	3	4
Organic Chemistry	-0.4654	-0.7856	6	57	64368	10935	1881	990	2847	2799	513	874	1031
Organizational Behavior and Human Resource Management	-0.2022	0.0894	1	37	702	185	82	0	67	17	19	0	0
Orthodontics	0.7309	-0.1632	2	3	10	17	0	10	2	0	3	0	2
Orthopedics and Sports Medicine	0.5664	-0.0889	2	52	3068	1011	71	523	180	58	38	76	65
Otorhinolaryngology	0.6982	-0.1496	2	26	964	415	21	239	70	37	14	23	11
Paleontology	-1.3169	1.043	7	31	28796	1775	688	5	759	156	5	126	36
Parasitology	1.6102	0.4014	3	21	13002	2125	246	1234	515	44	32	26	28
Pathology and Forensic Medicine	0.7434	-0.1644	2	71	5774	1837	232	1036	257	124	111	28	49
Pediatrics	0.5793	-0.0643	2	10	98	37	0	29	7	0	0	0	1
"Pediatrics, Perinatology and Child Health"	0.6796	-0.0614	2	68	6754	2657	128	2293	170	14	7	12	33
Periodontics	0.7306	-0.1655	2	5	48	34	6	17	2	2	0	3	4
Pharmaceutical Science	0.4821	-0.5827	6	52	26012	3611	233	872	559	1348	124	129	346
Pharmacology	0.7389	-0.3931	6	78	36482	8539	624	4392	1290	1468	179	166	420
Pharmacology (medical)	0.8785	-0.1684	2	63	11784	3217	218	2156	450	185	63	8	137
Pharmacology (nursing)	0.6395	-0.4923	6	3	24	7	0	5	2	0	0	0	0
"Pharmacology, Toxicology and Pharmaceutics"	0.6344	-0.1372	2	43	3742	941	104	518	148	94	22	6	49
"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)"	0.3932	-0.1369	2	10	358	148	3	102	10	25	7	0	1
Pharmacy	0.64	-0.4942	6	12	214	52	0	47	4	0	1	0	0
Philosophy	-0.0383	0.0387	1	61	1414	534	101	95	319	0	8	4	7
"Physical Therapy, Sports Therapy and Rehabilitation"	0.4977	-0.0693	2	42	1682	575	15	419	55	22	16	36	12
Physical and Theoretical Chemistry	-1.4361	-0.5333	4	83	64206	14434	4550	585	3739	2089	611	1788	1072
Physics and Astronomy	-0.8598	-0.1554	1	68	41070	28481	10717	916	4449	3952	1327	3298	3822
Physics and Astronomy (miscellaneous)	-0.6742	0.0225	1	37	5760	6039	2846	10	868	809	264	464	778
Physiology	0.9396	0.0933	2	86	24476	5952	1796	1667	1262	320	86	159	662
Physiology (medical)	0.82	-0.0675	2	54	8354	2160	337	1139	407	66	42	94	75
Plant Science	0.9279	0.5293	3	54	19896	6513	2601	127	1615	650	128	232	1160
Podiatry	0.5472	-0.0937	2	5	10	3	0	1	1	0	0	0	1
Political Science and International Relations	-0.1456	0.0905	1	38	1764	558	294	7	243	3	8	2	1
Pollution	-0.6808	0.267	5	75	21284	3380	218	122	757	1562	321	357	43
Polymers and Plastics	-1.1404	-0.4397	4	62	31144	5485	1417	31	997	1423	926	410	281
Process Chemistry and Technology	-1.0691	-0.2923	1	57	10260	1800	182	10	275	814	182	309	28
Psychiatric Mental Health	0.4931	-0.0174	2	11	324	90	3	78	7	1	0	0	1
Psychiatry and Mental Health	0.5609	-0.035	2	73	24252	6678	1202	4484	713	54	44	16	165
Psychology	0.1467	0.0321	1	59	2614	1728	842	460	322	9	16	38	41
Psychology (miscellaneous)	0.0778	0.0186	1	26	688	162	90	30	34	2	1	2	3
Public Administration	-0.2022	0.1276	1	32	402	121	24	9	48	7	32	1	0
"Public Health, Environmental and Occupational Health"	0.4506	0.0076	2	131	19248	5210	240	3821	398	471	144	81	55
Pulmonary and Respiratory Medicine	0.8263	-0.0916	2	29	3926	1398	141	978	103	24	113	6	33
Radiation	-0.5929	-0.4596	5	38	8902	2302	395	261	476	533	307	128	202
Radiological and Ultrasound Technology	0.5606	-0.167	2	31	6012	1099	193	492	225	83	73	14	19
"Radiology, Nuclear Medicine and Imaging"	0.3276	-0.2178	2	97	23910	5962	802	2903	712	600	541	194	210
Rehabilitation	0.5066	-0.0723	2	46	2384	590	29	345	108	30	22	35	21
Religious Studies	-0.0765	0.0761	1	28	1162	303	57	3	241	1	0	0	1
"Renewable Energy, Sustainability and the Environment"	-1.0387	0.0253	5	89	32952	6296	500	10	722	2708	1300	986	70
Reproductive Medicine	0.8311	-0.0514	2	31	3332	859	40	655	106	22	1	2	33
Review and Exam Preparation	0.5255	-0.0725	2	5	28	5	0	5	0	0	0	0	0
Rheumatology	1.1995	-0.0786	3	17	2842	843	30	592	121	13	17	7	63
Safety Research	-0.215	0.0567	1	53	972	157	32	19	23	42	30	10	1
"Safety, Risk, Reliability and Quality"	-0.4896	0.0673	1	109	14514	2692	93	48	411	1154	760	197	29
Sensory Systems	0.7812	-0.2111	2	32	5462	1313	276	507	293	38	46	57	96
Signal Processing	-0.3415	-0.1734	1	86	20600	4078	327	132	983	735	1239	389	273
Small Animals	1.3782	0.7495	3	4	144	31	4	7	15	5	0	0	0
